organic_core,metal_node,topology,smiles,lcd,pld,density,agsa,co2n2_co2_mol_kg,co2n2_n2_mol_kg,co2ch4_co2_mol_kg,co2ch4_ch4_mol_kg,selfies_safe,mask,train/test,scscore
None,sym_5_mc_2,lvt,[Lr]N1CCN([Lr])CC1,6.93973,5.04263,0.934965,2100.78,0.170281568,0.123973732,0.538821663,1.803502899,TRUE,TRUE,1,1.392745332
sym_3_vae_762,sym_6_mc_3,pyr,CSc1c(c2ccc([Lr])cc2)cc(SC)c(c3ccc([Lr])cc3)c1,20.93009,17.71254,0.181351,6736.1,0.151435612,0.316355379,0.538820203,2.703406982,TRUE,TRUE,1,3.436092414
sym_5_vae_304,sym_9_mc_5,soc,[Lr]c1ccc(cc1)c1c(C)c(C)c(c(c1C)C)c1ccc(cc1)[Lr],32.32016,26.04691,0.209696,4660.44,0.149891277,0.264662621,0.538806139,2.528100157,TRUE,TRUE,1,3.942258552
sym_3_vae_644,sym_6_mc_3,pyr,[Lr]c1ccc2c(c1)cc1c(c2)cc(cc1)[Lr],18.24338,14.79363,0.229476,6005.78,0.136590682,0.2842207,0.538800615,2.677224632,TRUE,TRUE,1,3.225459071
sym_5_vae_BR911,sym_9_mc_5,soc,[Lr]/C=C/c1c2ccccc2c(/C=C/[Lr])c3c1cccc3,27.75212,22.88775,0.231147,4657.91,0.135550455,0.257100008,0.538798965,2.435367633,TRUE,TRUE,1,2.715994867
sym_5_vae_218,sym_8_mc_7,scu,[Lr]c1ccc(cc1)C#CC#C[Lr],23.25799,19.99177,0.219237,6481,0.170977434,0.329535345,0.538786408,2.666137385,TRUE,TRUE,1,2.339862024
sym_3_vae_456,sym_4_mc_1,bor,[Lr]c1cnc(nc1)c1ncc(cn1)[Lr],29.24887,22.70844,0.110904,6987.13,0.159184088,0.439762914,0.538782378,3.076919747,TRUE,TRUE,1,2.894283744
sym_5_vae_196,sym_7_mc_4,tpt,[Lr]c1ccc(nc1)SSc1ccc(cn1)[Lr],43.84846,41.2055,0.134836,6012.97,0.143337232,0.361008145,0.538746313,2.884780646,TRUE,TRUE,1,2.265605374
sym_3_on_1,sym_6_mc_3,pyr,CN1CN(C)C2=C(c3ccc([Lr])cc3)CC=C(c4ccc([Lr])cc4)C12,22.3689,19.09698,0.163923,6714.67,0.134765174,0.330975868,0.53873572,2.840092925,TRUE,TRUE,1,4.324882113
sym_3_on_5,sym_6_mc_3,pyr,[Lr]c1nc([Lr])n[nH]1,14.14546,8.77474,0.432282,4656.69,0.119082849,0.192621565,0.538719327,2.059554569,TRUE,TRUE,1,1.264928031
sym_5_vae_1526,sym_5_mc_2,lvtb,CSC1=C2CCC(=C(C(=C2SC)[Lr])SC)C(=C1[Lr])SC,8.69246,5.77973,0.885044,1997.19,0.178805058,0.151822133,0.538718125,2.158442077,TRUE,TRUE,1,3.176298371
None,sym_5_mc_2,lvt,CN1CN(C)c2c(c3ccc([Lr])cc3)ccc(c4ccc([Lr])cc4)c21,31.30301,25.09315,0.14043,6191.43,0.165436179,0.373377371,0.538709371,2.828771138,TRUE,TRUE,1,3.936801876
sym_4_vae_153,sym_9_mc_5,iac,[Lr]c1c(C)cc(c2cc(C)c([Lr])cc2)cc1,17.70187,13.76719,0.40853,3842.43,0.133143077,0.184220703,0.53867493,2.132965583,TRUE,TRUE,1,2.871259356
sym_3_vae_1168,sym_5_mc_2,tbo,[Lr]c1ccc(cc1)C#CC#C[Lr],52.69433,28.50344,0.0804783,7077.34,0.157007596,0.552148937,0.538666522,3.584191332,TRUE,TRUE,1,2.339862024
sym_3_on_5,sym_6_mc_3,pyr,O=C1c2c(C(c3ccc([Lr])cc31)=O)cc([Lr])cc2,21.19757,17.36347,0.210221,5819.58,0.137754717,0.289117335,0.538653303,2.570390923,TRUE,TRUE,1,2.903207262
sym_5_vae_BR3264,sym_9_mc_5,soc,[Lr]C12C3C4C2C2C1C3C42[Lr],15.36238,13.16725,0.565698,2966.4,0.137820667,0.142755181,0.538647796,1.801097673,TRUE,TRUE,1,2.28329507
sym_4_vae_645,sym_4_mc_1,sodb,[Lr]c1ccc(cc1)C#CC#C[Lr],40.82726,21.8438,0.100774,7774.52,0.174679272,0.487077971,0.538645756,3.309534212,TRUE,TRUE,1,2.339862024
sym_5_on_13,sym_7_mc_4,stp,[Lr]C=CC=C[Lr],31.94688,31.09999,0.200109,6067.34,0.128615475,0.300841366,0.538633955,2.759945076,TRUE,TRUE,1,1.665451788
sym_3_on_2,sym_6_mc_3,pyr,[Lr]c1ccc(N2C=CN(c3ccc([Lr])cc3)C2)cc1,21.181,17.07731,0.163399,6706.49,0.13993141,0.333004473,0.538586932,2.749366624,TRUE,TRUE,0,2.63279956
sym_5_vae_BR911,sym_7_mc_4,tpt,[Lr]c1sc2c(c1)sc1c2sc(c1)[Lr],35.23177,34.43562,0.182643,5488.31,0.144686832,0.312897359,0.538584209,2.773716002,TRUE,TRUE,0,2.946928202
sym_3_vae_337,sym_6_mc_3,pyr,[Lr]c1cn([Lr])nn1,12.94308,9.82668,0.3629,5410.52,0.131287142,0.217695516,0.538545215,2.34460463,TRUE,TRUE,1,1.579602137
sym_4_vae_153,sym_4_mc_1,diab,[Lr]C#Cc1cn([Lr])nc1,16.60569,12.76448,0.225866,7023.63,0.163878063,0.314459897,0.538538065,2.586320492,TRUE,TRUE,1,2.119696679
sym_5_vae_218,sym_5_mc_2,lvtb,[Lr]C=CC=C[Lr],18.43585,16.23488,0.232362,5890.59,0.166141282,0.318872794,0.53852975,2.611819926,TRUE,TRUE,1,1.665451788
sym_3_vae_337,sym_6_mc_3,pyr,[Lr]n1ccn([Lr])cc1,14.5326,12.34425,0.295967,5627.41,0.138116833,0.232648496,0.538511488,2.416477137,TRUE,TRUE,1,1.398243714
sym_3_vae_165,sym_6_mc_3,pyr,O=C1c2c(C(c3ccc([Lr])cc31)=O)cc([Lr])cc2,17.93967,12.83649,0.274852,5579.04,0.136006382,0.255058629,0.538488215,2.436822493,TRUE,TRUE,1,2.903207262
sym_3_vae_1001,sym_4_mc_1,ctn,[Lr]n1cnn([Lr])cn1,23.89877,19.87906,0.142032,6280.79,0.168255967,0.395669372,0.538484375,2.797584256,TRUE,TRUE,1,1.329891134
sym_5_vae_1526,sym_5_mc_2,ssa,[Lr]c1ccc(s1)c1ccc(s1)[Lr],27.14059,24.17775,0.260491,5025.79,0.172674035,0.278894729,0.538469287,2.453702063,TRUE,TRUE,1,2.244038188
sym_3_vae_337,sym_3_mc_0,srsb,[Lr]CN1C=CC(C=C1)[Lr],23.6317,19.05286,0.211251,6012.61,0.168142117,0.296437364,0.538436794,2.605910987,TRUE,TRUE,1,1.810341367
None,sym_5_mc_2,rhr,[Lr]c1ccc(N2C(C3C(C4C=CC3C5C4C(N(c6ccc([Lr])cc6)C5=O)=O)C2=O)=O)cc1,55.15986,27.90124,0.107277,6073.9,0.170737176,0.43103937,0.538426143,2.970558823,TRUE,TRUE,1,3.622781434
sym_3_vae_456,sym_3_mc_0,srsb,[Lr]C#Cc1nnc(nn1)C#C[Lr],38.53924,34.74071,0.0566488,7346.54,0.169254931,0.687330021,0.538418896,4.053607165,TRUE,TRUE,1,1.806323016
sym_3_on_2,sym_4_mc_1,bor,[Lr]c1sc2c(c1)sc1c2sc(c1)[Lr],30.27822,21.24174,0.139127,6075.07,0.169710367,0.404556052,0.538412116,3.011628654,TRUE,TRUE,1,2.946928202
sym_3_vae_1168,sym_6_mc_3,pyr,[Lr]c1cc2c(=O)c3ccc([Lr])cc3[nH]c2cc1,21.71303,17.68816,0.208261,5671.13,0.143908156,0.291616149,0.538405637,2.602203439,TRUE,TRUE,1,3.176150078
sym_5_on_11,sym_9_mc_5,soc,[Lr]c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)[Lr],31.66156,25.85949,0.165831,5318.31,0.140318716,0.310160098,0.538402845,2.648546291,TRUE,TRUE,1,2.840614465
sym_4_on_6,sym_4_mc_1,lcsb,[Lr]C1=CC2=C(C=C([Lr])[SH]2)[SH]1,15.67107,12.23428,0.312395,5264.39,0.162316137,0.268971009,0.53840221,2.462682256,TRUE,TRUE,1,2.223989002
sym_5_vae_BR3264,sym_5_mc_2,rhrb,[Lr]c1n(N)c([Lr])nn1,26.83903,14.61271,0.345277,4066.5,0.179181575,0.218825398,0.538395564,1.907370445,TRUE,TRUE,1,1.783111318
sym_4_on_7,sym_9_mc_5,iac,O=C(c1cc(O)c(cc1O)[Lr])OOC(=O)c1cc(O)c(cc1O)[Lr],25.70982,20.13329,0.248768,4667.36,0.139141491,0.210343309,0.538394015,1.82229823,TRUE,TRUE,1,2.668208361
